"Date.Time"	"Phase"	"Temp.1"	"Ox.1"	"Temp.2"	"Ox.2"	"Temp.3"	"Ox.3"	"Temp.4"	"Ox.4"
"11/03/2020/09:53:07"	"F"	14.933	9.1898	14.933	9.2846	14.933	9.3861	14.933	9.2531
"11/03/2020/09:53:08"	"F"	14.933	9.1845	14.933	9.2863	14.933	9.3856	14.933	9.2527
"11/03/2020/09:53:09"	"F"	14.931	9.1801	14.931	9.2895	14.931	9.3855	14.931	9.2469
"11/03/2020/09:53:10"	"F"	14.933	9.1834	14.933	9.2903	14.933	9.3792	14.933	9.244
"11/03/2020/09:53:11"	"F"	14.932	9.1915	14.932	9.2962	14.932	9.3803	14.932	9.2369
"11/03/2020/09:53:12"	"F"	14.929	9.1939	14.929	9.2953	14.929	9.3828	14.929	9.245
"11/03/2020/09:53:13"	"F"	14.922	9.1929	14.922	9.2965	14.922	9.3917	14.922	9.2405
"11/03/2020/09:53:15"	"F"	14.92	9.1854	14.92	9.2914	14.92	9.3931	14.92	9.2493
"11/03/2020/09:53:16"	"F"	14.925	9.1877	14.925	9.2896	14.925	9.3895	14.925	9.2492
"11/03/2020/09:53:17"	"F"	14.926	9.1881	14.926	9.2942	14.926	9.3816	14.926	9.2544
"11/03/2020/09:53:18"	"F"	14.928	9.1915	14.928	9.2954	14.928	9.3805	14.928	9.2457
"11/03/2020/09:53:19"	"F"	14.927	9.1926	14.927	9.2979	14.927	9.3773	14.927	9.241
"11/03/2020/09:53:20"	"F"	14.928	9.1903	14.928	9.2908	14.928	9.3785	14.928	9.2447
"11/03/2020/09:53:21"	"F"	14.927	9.197	14.927	9.2941	14.927	9.3777	14.927	9.2564
"11/03/2020/09:53:22"	"F"	14.928	9.1983	14.928	9.2961	14.928	9.3804	14.928	9.25
"11/03/2020/09:53:23"	"F"	14.935	9.1943	14.935	9.2938	14.935	9.3803	14.935	9.2511
"11/03/2020/09:53:24"	"F"	14.935	9.2042	14.935	9.2924	14.935	9.3834	14.935	9.2383
"11/03/2020/09:53:25"	"F"	14.933	9.2045	14.933	9.2903	14.933	9.3859	14.933	9.2453
"11/03/2020/09:53:26"	"F"	14.924	9.2061	14.924	9.2954	14.924	9.3916	14.924	9.2419
"11/03/2020/09:53:27"	"F"	14.923	9.1909	14.923	9.2931	14.923	9.3929	14.923	9.252
"11/03/2020/09:53:28"	"F"	14.926	9.1778	14.926	9.2969	14.926	9.3916	14.926	9.2506
"11/03/2020/09:53:29"	"F"	14.931	9.1747	14.931	9.298	14.931	9.3916	14.931	9.2545
"11/03/2020/09:53:30"	"F"	14.934	9.1714	14.934	9.2981	14.934	9.392	14.934	9.2508
"11/03/2020/09:53:31"	"F"	14.932	9.1766	14.932	9.2966	14.932	9.3919	14.932	9.251
"11/03/2020/09:53:32"	"F"	14.928	9.1767	14.928	9.2913	14.928	9.387	14.928	9.2433
"11/03/2020/09:53:33"	"F"	14.93	9.1725	14.93	9.2958	14.93	9.3908	14.93	9.2385
"11/03/2020/09:53:34"	"F"	14.929	9.1732	14.929	9.2894	14.929	9.3911	14.929	9.2372
"11/03/2020/09:53:35"	"F"	14.934	9.1762	14.934	9.2967	14.934	9.399	14.934	9.2374
"11/03/2020/09:53:36"	"F"	14.931	9.1675	14.931	9.2929	14.931	9.3898	14.931	9.2422
"11/03/2020/09:53:37"	"F"	14.93	9.169	14.93	9.2986	14.93	9.3898	14.93	9.2553
"11/03/2020/09:53:38"	"F"	14.925	9.1729	14.925	9.3012	14.925	9.3875	14.925	9.2615
"11/03/2020/09:53:39"	"F"	14.927	9.1847	14.927	9.3019	14.927	9.3898	14.927	9.27
"11/03/2020/09:53:40"	"F"	14.929	9.184	14.929	9.3019	14.929	9.387	14.929	9.2633
"11/03/2020/09:53:41"	"F"	14.93	9.1734	14.93	9.2947	14.93	9.3861	14.93	9.2628
"11/03/2020/09:53:42"	"F"	14.925	9.1704	14.925	9.2878	14.925	9.3884	14.925	9.2496
"11/03/2020/09:53:43"	"F"	14.925	9.1659	14.925	9.2775	14.925	9.3909	14.925	9.2511
"11/03/2020/09:53:44"	"F"	14.928	9.1784	14.928	9.2695	14.928	9.3911	14.928	9.2445
"11/03/2020/09:53:45"	"F"	14.935	9.1797	14.935	9.2678	14.935	9.3922	14.935	9.2558
"11/03/2020/09:53:46"	"F"	14.938	9.1933	14.938	9.2736	14.938	9.3939	14.938	9.2518
"11/03/2020/09:53:47"	"F"	14.938	9.1953	14.938	9.2768	14.938	9.3954	14.938	9.2623
"11/03/2020/09:53:48"	"F"	14.936	9.1986	14.936	9.2787	14.936	9.3944	14.936	9.2577
"11/03/2020/09:53:49"	"F"	14.938	9.1972	14.938	9.2722	14.938	9.398	14.938	9.2595
"11/03/2020/09:53:50"	"F"	14.937	9.1926	14.937	9.2781	14.937	9.3943	14.937	9.2612
"11/03/2020/09:53:51"	"F"	14.935	9.1944	14.935	9.2791	14.935	9.3939	14.935	9.2645
"11/03/2020/09:53:52"	"F"	14.936	9.1908	14.936	9.2856	14.936	9.3851	14.936	9.2629
"11/03/2020/09:53:53"	"F"	14.94	9.1948	14.94	9.2792	14.94	9.391	14.94	9.2575
"11/03/2020/09:53:54"	"F"	14.945	9.2011	14.945	9.2737	14.945	9.3888	14.945	9.2444
"11/03/2020/09:53:56"	"F"	14.938	9.2094	14.938	9.2726	14.938	9.3929	14.938	9.2527
"11/03/2020/09:53:57"	"F"	14.936	9.2113	14.936	9.2781	14.936	9.3874	14.936	9.2418
"11/03/2020/09:53:58"	"F"	14.933	9.2123	14.933	9.2783	14.933	9.3829	14.933	9.2483
"11/03/2020/09:53:59"	"F"	14.935	9.2081	14.935	9.2773	14.935	9.3827	14.935	9.2342
"11/03/2020/09:54:00"	"F"	14.94	9.2122	14.94	9.2713	14.94	9.3773	14.94	9.2444
"11/03/2020/09:54:01"	"F"	14.943	9.2075	14.943	9.2753	14.943	9.3791	14.943	9.2433
"11/03/2020/09:54:02"	"F"	14.949	9.2097	14.949	9.2667	14.949	9.3755	14.949	9.2503
"11/03/2020/09:54:03"	"F"	14.941	9.2048	14.941	9.2669	14.941	9.375	14.941	9.2463
"11/03/2020/09:54:04"	"F"	14.945	9.2044	14.945	9.2654	14.945	9.3594	14.945	9.2429
"11/03/2020/09:54:05"	"F"	14.943	9.2126	14.943	9.2746	14.943	9.3421	14.943	9.2406
"11/03/2020/09:54:06"	"F"	14.95	9.2191	14.95	9.2802	14.95	9.3251	14.95	9.2414
"11/03/2020/09:54:07"	"F"	14.947	9.2238	14.947	9.2785	14.947	9.3212	14.947	9.249
"11/03/2020/09:54:08"	"F"	14.944	9.2212	14.944	9.2829	14.944	9.3218	14.944	9.2548
"11/03/2020/09:54:09"	"F"	14.945	9.2197	14.945	9.2832	14.945	9.3228	14.945	9.2576
"11/03/2020/09:54:10"	"F"	14.946	9.2242	14.946	9.2872	14.946	9.3274	14.946	9.2531
"11/03/2020/09:54:11"	"F"	14.951	9.2235	14.951	9.2831	14.951	9.3275	14.951	9.2476
"11/03/2020/09:54:12"	"F"	14.948	9.2258	14.948	9.2753	14.948	9.3345	14.948	9.2575
"11/03/2020/09:54:13"	"F"	14.946	9.23	14.946	9.278	14.946	9.3318	14.946	9.2594
"11/03/2020/09:54:14"	"F"	14.944	9.2336	14.944	9.2759	14.944	9.3365	14.944	9.2695
"11/03/2020/09:54:15"	"F"	14.942	9.2361	14.942	9.2812	14.942	9.3339	14.942	9.262
"11/03/2020/09:54:16"	"F"	14.942	9.2335	14.942	9.2862	14.942	9.3367	14.942	9.2604
"11/03/2020/09:54:17"	"F"	14.938	9.2322	14.938	9.2929	14.938	9.3362	14.938	9.247
"11/03/2020/09:54:18"	"F"	14.941	9.2312	14.941	9.2961	14.941	9.3433	14.941	9.2488
"11/03/2020/09:54:19"	"F"	14.941	9.2364	14.941	9.2861	14.941	9.3445	14.941	9.2514
"11/03/2020/09:54:20"	"F"	14.94	9.2355	14.94	9.2826	14.94	9.3419	14.94	9.2556
"11/03/2020/09:54:21"	"F"	14.934	9.2519	14.934	9.2849	14.934	9.3388	14.934	9.252
"11/03/2020/09:54:22"	"F"	14.928	9.2549	14.928	9.2927	14.928	9.3396	14.928	9.2495
"11/03/2020/09:54:23"	"F"	14.93	9.2587	14.93	9.2926	14.93	9.3386	14.93	9.256
"11/03/2020/09:54:24"	"F"	14.935	9.2461	14.935	9.2871	14.935	9.3365	14.935	9.2594
"11/03/2020/09:54:25"	"F"	14.94	9.2435	14.94	9.2805	14.94	9.3438	14.94	9.2595
"11/03/2020/09:54:26"	"F"	14.939	9.2454	14.939	9.2814	14.939	9.3506	14.939	9.2532
"11/03/2020/09:54:27"	"F"	14.94	9.2458	14.94	9.2877	14.94	9.353	14.94	9.2485
"11/03/2020/09:54:28"	"F"	14.936	9.2499	14.936	9.3	14.936	9.3511	14.936	9.2468
"11/03/2020/09:54:29"	"F"	14.936	9.2542	14.936	9.2975	14.936	9.357	14.936	9.24
"11/03/2020/09:54:30"	"F"	14.933	9.2565	14.933	9.2965	14.933	9.3636	14.933	9.2348
"11/03/2020/09:54:31"	"F"	14.936	9.2594	14.936	9.2923	14.936	9.3656	14.936	9.2337
"11/03/2020/09:54:32"	"F"	14.943	9.2573	14.943	9.2911	14.943	9.3632	14.943	9.2326
"11/03/2020/09:54:33"	"F"	14.948	9.2572	14.948	9.2904	14.948	9.3628	14.948	9.2234
"11/03/2020/09:54:34"	"F"	14.947	9.2569	14.947	9.2839	14.947	9.3645	14.947	9.2215
"11/03/2020/09:54:35"	"F"	14.94	9.2575	14.94	9.2885	14.94	9.37	14.94	9.2231
"11/03/2020/09:54:36"	"F"	14.937	9.2607	14.937	9.2873	14.937	9.3702	14.937	9.2414
"11/03/2020/09:54:37"	"F"	14.946	9.2579	14.946	9.2962	14.946	9.3617	14.946	9.2345
"11/03/2020/09:54:38"	"F"	14.947	9.2659	14.947	9.3005	14.947	9.3585	14.947	9.2423
"11/03/2020/09:54:39"	"F"	14.953	9.2686	14.953	9.3032	14.953	9.363	14.953	9.2337
"11/03/2020/09:54:40"	"F"	14.952	9.2689	14.952	9.3004	14.952	9.3616	14.952	9.2292
"11/03/2020/09:54:41"	"F"	14.953	9.2659	14.953	9.2974	14.953	9.3586	14.953	9.2214
"11/03/2020/09:54:42"	"F"	14.948	9.2659	14.948	9.3002	14.948	9.3558	14.948	9.2201
