latitude,longitude,name,site,sampletype,lake_area
59.271,-158.6271006,Mosquito Point [0],o_mosquito_point,seine,littoral 
59.28,-158.6994605,1 [c],c_1,tow,limnetic 
59.278,-158.6826228,2 [c],c_2,tow,limnetic 
59.283,-158.6611742,1 [o],o_1,seine,littoral 
59.312,-158.6833066,2 [o],o_2,seine,littoral 
59.316,-158.6993152,3 [o],o_3,seine,littoral 
59.296,-158.6619494,4 [o],o_4,seine,littoral 
59.301,-158.7121747,3 [c],c_3,tow,limnetic 
59.296,-158.7373048,5 [o],o_5,seine,littoral 
59.293,-158.7774243,6 [o],o_6,seine,littoral 
59.311,-158.7263522,4 [c],c_4,tow,limnetic 
59.336,-158.7824894,5 [c],c_5,tow,limnetic 
59.355,-158.842339,6 [c],c_6,tow,limnetic 
59.358,-158.8588787,7 [c],c_7,tow,limnetic 
59.365,-158.8754859,8 [c],c_8,tow,limnetic 
59.402,-158.9227113,9 [c],c_9,tow,limnetic 
59.424,-158.9496378,10 [c],c_10,tow,limnetic 
59.441,-159.0196037,11 [c],c_11,tow,limnetic 
59.451,-159.041414,12 [c],c_12,tow,limnetic 
59.438,-158.7322646,13 [c],c_13,tow,limnetic 
59.466,-158.7325803,14 [c],c_14,tow,limnetic 
59.475,-158.890993,15 [c],c_15,tow,limnetic 
59.516,-158.9812731,16 [c],c_16,tow,limnetic 
59.548,-159.0291466,17 [c],c_17,tow,limnetic 
59.567,-159.0353589,18 [c],c_18,tow,limnetic 
59.593,-159.034729,19 [c],c_19,tow,limnetic 
59.564,-159.1089291,20 [c],c_20,tow,limnetic 
59.568,-159.1206736,21 [c],c_21,tow,limnetic 
59.562,-159.1008282,22 [c],c_22,tow,limnetic 
59.574,-159.1446194,23 [c],c_23,tow,limnetic 
59.589,-159.1770129,25 [c],c_25,tow,limnetic 
59.581,-159.1648657,24 [c],c_24,tow,limnetic 
59.609,-159.19307,26 [c],c_26,tow,limnetic 
59.615,-159.2008274,27 [c],c_27,tow,limnetic 
59.561,-158.965985,28 [c],c_28,tow,limnetic 
59.564,-158.9381423,29 [c],c_29,tow,limnetic 
59.553,-158.7655797,30 [c],c_30,tow,limnetic 
59.641,-158.6654788,31 [c],c_31,tow,limnetic 
59.658,-158.7424139,32 [c],c_32,tow,limnetic 
59.67,-158.8657629,33 [c],c_33,tow,limnetic 
59.673,-158.9103912,34 [c],c_34,tow,limnetic 
59.671,-158.9385598,35 [c],c_35,tow,limnetic 
59.705,-158.9131599,36 [c],c_36,tow,limnetic 
59.722,-158.9682896,37 [c],c_37,tow,limnetic 
59.795,-158.9109566,38 [c],c_38,tow,limnetic 
59.801,-158.8139008,39 [c],c_39,tow,limnetic 
59.766,-158.6966641,40 [c],c_40,tow,limnetic 
59.759,-158.6452906,41 [c],c_41,tow,limnetic 
