type	latitude	longitude	scale	sym	name	ge_hotspot
W	59.270828567	-158.627100582	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Mosquito Point [0]	20,2
W	59.280051843	-158.699460484	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	1 [c]	20,2
W	59.277945021	-158.682622751	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	2 [c]	20,2
W	59.282561259	-158.661174225	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	1 [o]	20,2
W	59.311744381	-158.683306597	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	2 [o]	20,2
W	59.316449677	-158.699315197	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	3 [o]	20,2
W	59.295827904	-158.661949365	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	4 [o]	20,2
W	59.301483980	-158.712174692	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	3 [c]	20,2
W	59.296370632	-158.737304816	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	5 [o]	20,2
W	59.292898859	-158.777424340	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	6 [o]	20,2
W	59.310616231	-158.726352249	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	4 [c]	20,2
W	59.336037653	-158.782489441	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	5 [c]	20,2
W	59.354652460	-158.842339030	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	6 [c]	20,2
W	59.357699706	-158.858878722	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	7 [c]	20,2
W	59.365445816	-158.875485859	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	8 [c]	20,2
W	59.401900336	-158.922711284	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	9 [c]	20,2
W	59.424261275	-158.949637769	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	10 [c]	20,2
W	59.441320397	-159.019603715	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	11 [c]	20,2
W	59.450715606	-159.041414006	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	12 [c]	20,2
W	59.437929601	-158.732264558	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	13 [c]	20,2
W	59.466011398	-158.732580292	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	14 [c]	20,2
W	59.474956280	-158.890993047	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	15 [c]	20,2
W	59.515799613	-158.981273068	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	16 [c]	20,2
W	59.547599752	-159.029146565	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	17 [c]	20,2
W	59.567289174	-159.035358865	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	18 [c]	20,2
W	59.593498834	-159.034729040	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	19 [c]	20,2
W	59.564025401	-159.108929086	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	20 [c]	20,2
W	59.568004094	-159.120673557	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	21 [c]	20,2
W	59.561960751	-159.100828167	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	22 [c]	20,2
W	59.573890156	-159.144619414	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	23 [c]	20,2
W	59.588716480	-159.177012875	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	25 [c]	20,2
W	59.581225002	-159.164865712	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	24 [c]	20,2
W	59.608862503	-159.193069965	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	26 [c]	20,2
W	59.615359576	-159.200827369	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	27 [c]	20,2
W	59.561377902	-158.965984990	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	28 [c]	20,2
W	59.563862043	-158.938142256	1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	29 [c]	20,2
