FishID,Group,Tank,Pop,Sex,BreedingCond,TL,SL,MBD,WetMass,FoilMass,PackageMass,DryMass,Exposed,ExposureDate,DPE,Infected,WormNumber,WormWetMass,WormDryMass,RespDate,Chamber,W_M1,W_M2,W_M3,W_Mavg,W_Mmin,D_M1,D_M2,D_M3,D_Mavg,D_Mmin,Notes
SG3_1,1,SG3,SG,F,N,NA,59.4,12.79,2.2176,0.3253,1.1222,0.7969,N,NA,NA,NA,NA,NA,NA,10/1/2020,1,98.936,114.117,119.027,110.6933333,98.936,276.512,318.938,332.663,309.371,276.512,
GS3_1,1,GS3,GS,M,Y,NA,62.87,13.63,2.8942,0.3124,1.0853,0.7729,N,NA,NA,NA,NA,NA,NA,10/1/2020,2,58.142,83.527,96.354,79.341,58.142,219,314.804,363.145,299.024,219.123,Small bubble in the chamber.
SG3_2,1,SG3,SG,M,N,NA,51.16,11.76,1.6072,0.3754,0.9128,0.5374,N,NA,NA,NA,NA,NA,NA,10/1/2020,3,112.973,122.583,134.68,123.412,112.973,338.969,367.801,404.01,370.26,338.969,
GS3_2,1,GS3,GS,M,Y,NA,61.69,12.39,2.557,0.3144,1.0231,0.7087,N,NA,NA,NA,NA,NA,NA,10/1/2020,4,107.544,109.351,119.682,112.1923333,107.544,390.211,396.766,434.252,407.0763333,390.211,
SG3_3,2,SG3,SG,M,N,57.89,49.62,10.52,1.4203,0.2762,0.7743,0.4981,N,NA,NA,NA,NA,NA,NA,11/1/2020,1,84.89,100.427,107.701,97.67266667,84.89,168.325,199.134,213.557,193.672,168.325,
SG1_1,2,SG1,SG,M,Y,63.57,55.79,13.08,2.4615,0.2683,0.9005,0.6322,Y,9/22/2020,40,N,0,0,0,11/1/2020,2,124.162,126.105,130.291,126.8526667,124.162,617.26,626.92,647.727,630.6356667,617.26,
GS1_1,2,GS1,GS,M,Y,68.37,59.46,12.15,2.2319,0.3016,0.8755,0.5739,Y,9/22/2020,40,N,0,0,0,11/1/2020,3,110.563,113.999,115.006,113.1893333,110.563,407.65,420.318,424.031,417.333,407.65,
GS1_2,2,GS1,GS,M,Y,70.24,62.27,13.05,2.4383,0.2893,0.837,0.5477,Y,9/22/2020,40,N,0,0,0,11/1/2020,4,133.811,138.811,139.802,137.4746667,133.811,571.75,593.116,597.352,587.406,571.75,
GS1_3,3,GS1,GS,M,Y,66.64,58.58,13.56,2.5836,0.2729,0.8589,0.586,Y,9/22/2020,41,N,0,0,0,11/2/2020,1,92.75,97.383,106.541,98.89133333,92.75,411.418,431.97,472.591,438.6596667,411.418,
GS3_3,3,GS3,GS,M,N,65.26,57.45,12.64,2.1534,0.2012,1.0139,0.8127,N,NA,NA,NA,NA,NA,NA,11/2/2020,2,94.925,97.769,103.355,98.683,94.925,252.55,260.117,274.978,262.5483333,252.55,
